a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,bb27,cc28,dd29,ee30,ff31,gg32,hh33,ii34,jj35,kk36,ll37,mm38,mm39,nn40,oo41,pp42,qq43,rr44,ss45,tt46,uu47,vv48,ww49,xx50,yy51,zz52,aaa53,bbb54,ccc55,ddd56,eee57,fff58,ggg59,hhh60,iii61,jjj62,kkk63,lll64,mmm65
3127,7747,weapon_assault,MDLC4_DLCGUN6LOOT2,iw5_dlcgun6loot2,,weapon_stg44_loot2,MDLC4_STG44DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,11,10,8,10,10,12,5,4,0x100034E,,,loot,1,,0,0,,,dlcgun6,3,1,,,1,
3128,7748,weapon_assault,MDLC4_DLCGUN6LOOT3,iw5_dlcgun6loot3,,weapon_stg44_loot3,MDLC4_STG44DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,10,11,6,9,11,13,5,4,0x100034F,,,loot,1,,0,0,,,dlcgun6,2,1,,,1,
3129,7749,weapon_assault,MDLC4_DLCGUN6LOOT4,iw5_dlcgun6loot4,,weapon_stg44_royal,MDLC4_STG44DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,10,11,7,9,11,13,5,4,0x1000350,,,loot,1,,0,0,,,dlcgun6,2,1,,,1,
3135,7755,weapon_sniper,MDLC4_DLCGUN6LOOT5,iw5_dlcgun6loot5,,weapon_dragunov,MDLC4_DRAGUNOVDESC,9,weapon_stow_mid_up,,ironsights,scopevz,opticsthermal,opticsacog2,parabolicmicrophone,xmags,stabilizer,trackrounds,stock,,,,,,,,,,,,,,,,,,,,,,12,15,18,4,8,3,5,4,0x1000351,,,,0,,0,0,,,dlcgun6loot5,0,,,,,
3136,7756,weapon_sniper,MDLC4_DLCGUN6LOOT6,iw5_dlcgun6loot6,,weapon_dragunov_loot0,MDLC4_DRAGUNOVDESC,9,weapon_stow_mid_up,,ironsights,scopevz,opticsthermal,opticsacog2,parabolicmicrophone,xmags,stabilizer,trackrounds,stock,,,,,,,,,,,,,,,,,,,,,,12,15,18,5,8,2,5,4,0x1000352,,,loot,1,,0,0,,,dlcgun6loot5,0,1,,,1,
3137,7757,weapon_sniper,MDLC4_DLCGUN6LOOT7,iw5_dlcgun6loot7,,weapon_dragunov_loot1,MDLC4_DRAGUNOVDESC,9,weapon_stow_mid_up,,ironsights,scopevz,opticsthermal,opticsacog2,parabolicmicrophone,xmags,stabilizer,trackrounds,stock,,,,,,,,,,,,,,,,,,,,,,12,15,18,3,9,3,5,4,0x1000353,,,loot,1,,0,0,,,dlcgun6loot5,1,1,,,1,
3138,7758,weapon_sniper,MDLC4_DLCGUN6LOOT8,iw5_dlcgun6loot8,,weapon_dragunov_loot2,MDLC4_DRAGUNOVDESC,9,weapon_stow_mid_up,,ironsights,scopevz,opticsthermal,opticsacog2,parabolicmicrophone,xmags,stabilizer,trackrounds,stock,,,,,,,,,,,,,,,,,,,,,,13,15,18,4,7,4,5,4,0x1000354,,,loot,1,,0,0,,,dlcgun6loot5,3,1,,,1,
3139,7759,weapon_sniper,MDLC4_DLCGUN6LOOT9,iw5_dlcgun6loot9,,weapon_dragunov_loot3,MDLC4_DRAGUNOVDESC,9,weapon_stow_mid_up,,ironsights,scopevz,opticsthermal,opticsacog2,parabolicmicrophone,xmags,stabilizer,trackrounds,stock,,,,,,,,,,,,,,,,,,,,,,13,15,18,2,8,4,5,4,0x1000355,,,loot,1,,0,0,,,dlcgun6loot5,2,1,,,1,
3140,7760,weapon_sniper,MDLC4_DLCGUN7,iw5_dlcgun7,,weapon_dragunov_royal,MDLC4_DRAGUNOVDESC,9,weapon_stow_mid_up,,ironsights,scopevz,opticsthermal,opticsacog2,parabolicmicrophone,xmags,stabilizer,trackrounds,stock,,,,,,,,,,,,,,,,,,,,,,13,15,18,2,8,5,5,4,0x1000356,,,loot,1,,0,0,,,dlcgun6loot5,2,1,,,1,
3154,7774,feature,,Blunderbuss_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000357,,,challenge,0,,1,0,,,,0,,,,,
3155,7775,feature,,STG44_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000358,,,challenge,0,,1,0,,,,0,,,,,
3156,7776,feature,,Dragunov_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000359,,,challenge,0,,1,0,,,,0,,,,,
3165,7785,weapon_assault,DLC4_DLCGUN7LOOT0,iw5_dlcgun7loot0,,weapon_ak47,DLC4_AK47DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,8,12,9,9,12,10,5,4,0x100035A,,,,1,,0,0,,,dlcgun7loot0,0,,,,,
3166,7786,weapon_assault,DLC4_DLCGUN7LOOT1,iw5_dlcgun7loot1,,weapon_ak47_loot0,DLC4_AK47DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,8,13,9,8,12,10,5,4,0x100035B,,,loot,1,,0,0,,,dlcgun7loot0,0,1,,,1,
3167,7787,weapon_assault,DLC4_DLCGUN7LOOT2,iw5_dlcgun7loot2,,weapon_ak47_loot1,DLC4_AK47DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,9,12,9,9,12,9,5,4,0x100035C,,,loot,1,,0,0,,,dlcgun7loot0,1,1,,,1,
3168,7788,weapon_assault,DLC4_DLCGUN7LOOT3,iw5_dlcgun7loot3,,weapon_ak47_loot2,DLC4_AK47DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,9,12,9,9,11,11,5,4,0x100035D,,,loot,1,,0,0,,,dlcgun7loot0,3,1,,,1,
3169,7789,weapon_assault,DLC4_DLCGUN7LOOT4,iw5_dlcgun7loot4,,weapon_ak47_loot3,DLC4_AK47DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,8,10,11,9,12,10,5,4,0x100035E,,,loot,1,,0,0,,,dlcgun7loot0,2,1,,,1,
3170,7790,weapon_assault,DLC4_DLCGUN7LOOT5,iw5_dlcgun7loot5,,weapon_ak47_royal,DLC4_AK47DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,8,10,12,9,12,10,5,4,0x100035F,,,loot,1,,0,0,,,dlcgun7loot0,2,1,,,1,
3172,7792,weapon_assault,DLC4_DLCGUN7LOOT6,iw5_dlcgun7loot6,,weapon_m16a4,DLC4_M16DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,12,8,11,9,10,10,,,0x1000360,,,,1,,0,0,,,dlcgun7loot6,0,,,,,
3173,7793,weapon_assault,DLC4_DLCGUN7LOOT7,iw5_dlcgun7loot7,,weapon_m16a4_loot0,DLC4_M16DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,12,9,11,9,10,9,,,0x1000361,,,loot,1,,0,0,,,dlcgun7loot6,0,1,,,1,
3174,7794,weapon_assault,DLC4_DLCGUN7LOOT8,iw5_dlcgun7loot8,,weapon_m16a4_loot1,DLC4_M16DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,12,7,11,10,10,10,,,0x1000362,,,loot,1,,0,0,,,dlcgun7loot6,1,1,,,1,
3175,7795,weapon_assault,DLC4_DLCGUN7LOOT9,iw5_dlcgun7loot9,,weapon_m16a4_loot2,DLC4_M16DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,13,8,12,9,9,10,,,0x1000363,,,loot,1,,0,0,,,dlcgun7loot6,3,1,,,1,
3176,7796,weapon_assault,DLC4_DLCGUN8,iw5_dlcgun8,,weapon_m16a4_loot3,DLC4_M16DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,12,8,11,7,11,11,,,0x1000364,,,loot,1,,0,0,,,dlcgun7loot6,2,1,,,1,
3177,7797,weapon_assault,DLC4_DLCGUN8LOOT0,iw5_dlcgun8loot0,,weapon_m16a4_royal,DLC4_M16DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,gl,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,12,8,12,7,11,11,,,0x1000365,,,loot,1,,0,0,,,dlcgun7loot6,2,1,,,1,
3178,7798,weapon_shotgun,DLC4_DLCGUN8LOOT1,iw5_dlcgun8loot1,,weapon_cel3,DLC4_DLCGUN8LOOT1DESC,10,,,opticstargetenhancer,xmags,longrange,stock,quickdraw,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,4,6,16,13,5,1,0x1000366,,,,1,,0,0,,,dlcgun8loot1,0,,,,,
3179,7799,weapon_shotgun,DLC4_DLCGUN8LOOT2,iw5_dlcgun8loot2,,weapon_cel3_loot1,DLC4_DLCGUN8LOOT1DESC,10,,,opticstargetenhancer,xmags,longrange,stock,quickdraw,,,,,,,,,,,,,,,,,,,,,,,,,,6,19,4,6,16,12,5,1,0x1000367,,,loot,1,,0,0,,,dlcgun8loot1,0,1,,,1,
3180,7800,weapon_shotgun,DLC4_DLCGUN8LOOT3,iw5_dlcgun8loot3,,weapon_cel3_loot3,DLC4_DLCGUN8LOOT1DESC,10,,,opticstargetenhancer,xmags,longrange,stock,quickdraw,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,6,6,15,13,5,1,0x1000368,,,loot,1,,0,0,,,dlcgun8loot1,3,1,,,1,
3182,7802,feature,,CEL3_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000369,,,challenge,0,,1,0,,,,0,,,,,
3183,7803,feature,,AK47_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100036A,,,challenge,0,,1,0,,,,0,,,,,
3184,7804,feature,,M16_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100036B,,,challenge,0,,1,0,,,,0,,,,,
3191,7811,weapon_pistol,MDLC5_DLCGUN13,iw5_dlcgun13,,weapon_m1911_loot1,MDLC5_M1911_DESC,10,weapon_stow_mid_up,,xmags,akimbo,lasersight,tactical,silencer01,parabolicmicrophone,longrange,,,,,,,,,,,,,,,,,,,,,,,,7,8,5,8,12,11,2,2,0x100036C,,,,1,,0,0,,,dlcgun13,0,,,,,
3192,7812,weapon_pistol,MDLC5_DLCGUN14,iw5_dlcgun14,,weapon_m1911,MDLC5_M1911_DESC,10,weapon_stow_mid_up,,xmags,akimbo,lasersight,tactical,silencer01,parabolicmicrophone,longrange,,,,,,,,,,,,,,,,,,,,,,,,6,8,5,7,12,12,3,2,0x100036D,,,loot,1,,0,0,,,dlcgun13,0,1,,,1,
3193,7813,weapon_pistol,MDLC5_DLCGUN15,iw5_dlcgun15,,weapon_m1911_loot0,MDLC5_M1911_DESC,10,weapon_stow_mid_up,,xmags,akimbo,lasersight,tactical,silencer01,parabolicmicrophone,longrange,,,,,,,,,,,,,,,,,,,,,,,,6,8,6,9,12,11,1,2,0x100036E,,,loot,1,,0,0,,,dlcgun13,1,1,,,1,
3194,7814,weapon_pistol,MDLC5_DLCGUN16,iw5_dlcgun16,,weapon_m1911_royal,MDLC5_M1911_DESC,10,weapon_stow_mid_up,,xmags,akimbo,lasersight,tactical,silencer01,parabolicmicrophone,longrange,,,,,,,,,,,,,,,,,,,,,,,,8,8,4,8,11,12,2,2,0x100036F,,,loot,1,,0,0,,,dlcgun13,2,1,,,1,
3195,7815,weapon_pistol,MDLC5_DLCGUN17,iw5_dlcgun17,,weapon_m1911_loot2,MDLC5_M1911_DESC,10,weapon_stow_mid_up,,xmags,akimbo,lasersight,tactical,silencer01,parabolicmicrophone,longrange,,,,,,,,,,,,,,,,,,,,,,,xmags,6,8,5,8,13,12,2,2,0x1000370,,,loot,1,,0,0,,,dlcgun13,3,1,,,1,
3199,7819,feature,,M1911_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000371,,,challenge,0,,1,0,,,,0,,,,,
3200,7820,weapon_smg,MDLC5_DLCGUN18,iw5_dlcgun18,,weapon_mp40,MDLC5_MP40DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,7,8,10,9,12,14,5,4,0x1000372,,,,1,,0,0,,,dlcgun18,0,,,,,
3201,7821,weapon_smg,MDLC5_DLCGUN19,iw5_dlcgun19,,weapon_mp40_loot1,MDLC5_MP40DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,8,8,9,9,12,14,5,4,0x1000373,,,loot,1,,0,0,,,dlcgun18,0,1,,,1,
3202,7822,weapon_smg,MDLC5_DLCGUN20,iw5_dlcgun20,,weapon_mp40_loot2,MDLC5_MP40DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,6,8,11,8,12,14,6,4,0x1000374,,,loot,1,,0,0,,,dlcgun18,1,1,,,1,
3203,7823,weapon_smg,MDLC5_DLCGUN21,iw5_dlcgun21,,weapon_mp40_royal,MDLC5_MP40DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,9,8,10,9,11,13,5,4,0x1000375,,,loot,1,,0,0,,,dlcgun18,2,1,,,1,
3204,7824,weapon_smg,MDLC5_DLCGUN22,iw5_dlcgun22,,weapon_mp40_loot3,MDLC5_MP40DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,dualmag,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,lasersight,7,8,9,9,13,15,5,4,0x1000376,,,loot,1,,0,0,,,dlcgun18,3,1,,,1,
3212,7832,feature,,MP40_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100037C,,,challenge,0,,1,0,,,,0,,,,,
3216,7836,weapon_assault,MDLC6_DLCGUN23,iw5_dlcgun23,,weapon_m1_garand,MDLC6_GARAND_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,13,12,11,7,10,8,5,4,0x100037D,,,,1,,0,0,,,dlcgun23,0,,,,,
3217,7837,weapon_assault,MDLC6_DLCGUN24,iw5_dlcgun24,,weapon_m1_garand_loot0,MDLC6_GARAND_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,12,12,11,7,10,8,6,4,0x100037E,,,loot,1,,0,0,,,dlcgun23,0,1,,,1,
3218,7838,weapon_assault,MDLC6_DLCGUN25,iw5_dlcgun25,,weapon_m1_garand_loot1,MDLC6_GARAND_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,12,12,11,8,11,8,4,4,0x100037F,,,loot,1,,0,0,,,dlcgun23,1,1,,,1,
3219,7839,weapon_assault,MDLC6_DLCGUN26,iw5_dlcgun26,,weapon_m1_garand_royal,MDLC6_GARAND_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,14,12,11,6,9,9,5,4,0x1000380,,,loot,1,,0,0,,,dlcgun23,2,1,,,1,
3220,7840,weapon_assault,MDLC6_DLCGUN27,iw5_dlcgun27,,weapon_m1_garand_loot3,MDLC6_GARAND_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,quickdraw,12,12,12,7,10,9,5,4,0x1000381,,,loot,1,,0,0,,,dlcgun23,3,1,,,1,
3221,7841,weapon_smg,MDLC6_DLCGUN28,iw5_dlcgun28,,weapon_sten,MDLC6_STEN_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,,8,8,6,11,16,12,5,5,0x1000382,,,,1,,0,0,,,dlcgun28,0,,,,,
3222,7842,weapon_smg,MDLC6_DLCGUN29,iw5_dlcgun29,,weapon_sten_loot0,MDLC6_STEN_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,,9,8,5,11,16,12,5,5,0x1000383,,,loot,1,,0,0,,,dlcgun28,0,1,,,1,
3223,7843,weapon_smg,MDLC6_DLCGUN30,iw5_dlcgun30,,weapon_sten_loot1,MDLC6_STEN_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,,7,8,7,10,16,12,6,5,0x1000384,,,loot,1,,0,0,,,dlcgun28,1,1,,,1,
3224,7844,weapon_smg,MDLC6_DLCGUN31,iw5_dlcgun31,,weapon_sten_royal,MDLC6_STEN_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,,10,8,6,11,15,11,5,5,0x1000385,,,loot,1,,0,0,,,dlcgun28,2,1,,,1,
3225,7845,weapon_smg,MDLC6_DLCGUN32,iw5_dlcgun32,,weapon_sten_loot2,MDLC6_STEN_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,silencer01,parabolicmicrophone,xmags,quickdraw,longrange,,,,,,,,,,,,,,stock,8,8,5,11,17,13,5,5,0x1000386,,,loot,1,,0,0,,,dlcgun28,3,1,,,1,
3236,7856,weapon_assault,MDLC6_DLCGUN33,iw5_dlcgun33,,weapon_winchester,MDLC6_LEVER_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,12,13,11,7,10,7,5,4,0x1000387,,,,1,,0,0,,,dlcgun33,0,,,,,
3237,7857,weapon_assault,MDLC6_DLCGUN34,iw5_dlcgun34,,weapon_winchester_loot0,MDLC6_LEVER_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,12,13,11,8,10,7,4,4,0x1000388,,,loot,1,,0,0,,,dlcgun33,0,1,,,1,
3238,7858,weapon_assault,MDLC6_DLCGUN35,iw5_dlcgun35,,weapon_winchester_loot1,MDLC6_LEVER_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,11,13,12,7,9,7,6,4,0x1000389,,,loot,1,,0,0,,,dlcgun33,1,1,,,1,
3239,7859,weapon_assault,MDLC6_DLCGUN36,iw5_dlcgun36,,weapon_winchester_loot2,MDLC6_LEVER_DESC,9,weapon_stow_mid_up,,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,,,,,,opticsreddot,13,13,10,8,10,7,5,4,0x100038A,,,loot,1,,0,0,,,dlcgun33,3,1,,,1,
3240,7860,weapon_assault,MDLC6_DLCGUN37,iw5_dlcgun37,,weapon_winchester_royal,MDLC6_LEVER_DESC,9,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,gl,foregrip,silencer01,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,10,13,11,8,11,7,5,4,0x100038B,,,loot,1,,0,0,,,dlcgun33,2,1,,,1,
3241,7861,feature,,Sten_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100038C,,,challenge,0,,1,0,,,,0,,,,,
3242,7862,feature,,M1Garand_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x100038D,,,challenge,0,,1,0,,,,0,,,,,
3243,7863,weapon_smg,MDLC6_DLCGUN38,iw5_dlcgun38,,weapon_repulsor,MDLC6_FM4_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,,,6,11,6,12,12,13,5,5,0x100038E,,,,1,,0,0,,,dlcgun38,0,,,,,
3244,7864,weapon_smg,MDLC6_DLCGUN39,iw5_dlcgun39,,weapon_repulsor_loot0,MDLC6_FM4_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,,,6,11,6,12,11,13,6,5,0x100038F,,,loot,1,,0,0,,,dlcgun38,0,1,,,1,
3245,7865,weapon_smg,MDLC6_DLCGUN40,iw5_dlcgun40,,weapon_repulsor_loot1,MDLC6_FM4_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,,,7,11,6,11,12,14,5,4,0x1000390,,,loot,1,,0,0,,,dlcgun38,1,1,,,1,
3246,7866,weapon_smg,MDLC6_DLCGUN41,iw5_dlcgun41,,weapon_repulsor_loot2,MDLC6_FM4_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,parabolicmicrophone,quickdraw,,,,,,,,,,,,,,,,,xmags,6,10,6,14,12,13,5,5,0x1000391,,,loot,1,,0,0,,,dlcgun38,3,1,,,1,
3247,7867,weapon_smg,MDLC6_DLCGUN42,iw5_dlcgun42,,weapon_repulsor_royal,MDLC6_FM4_DESC,10,weapon_stow_mid_up,,opticsreddot,variablereddot,opticseotech,opticstargetenhancer,opticsthermal,opticsacog2,lasersight,stock,trackrounds,firerate,foregrip,parabolicmicrophone,xmags,quickdraw,,,,,,,,,,,,,,,,,6,11,8,12,11,12,5,5,0x1000392,,,loot,1,,0,0,,,dlcgun38,2,1,,,1,
3248,7868,feature,,FPSKU_Consumable_ASD_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000393,,,entitlement,0,,1,0,,,,0,,,,,
3249,7869,feature,,ASD_LegendaryBonusMarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000394,,,challenge,0,,1,0,,,,0,,,,,
3250,7870,feature,,LeverAction_Base_Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1000396,,,challenge,0,,1,0,,,,0,,,,,
